DBMS	RUNID	QUERYNUM	UPPER_GEN	LOWER_GEN	UPPER_CARD	LOWER_CARD	NEAREST_CARD	UPPER_CQT	UPPER_EP_CQT	LOWER_CQT	NEAREST_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
db2	439	81	8	5	1930000	1920000	1910000	2375	2420	2410	2400	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1900000	1890000	1840000	2360	2381	2375	2345	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1820000	1810000	1780000	2280	2320	2315	2300	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1760000	1750000	1730000	2240	2280	2270	2250	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1720000	1710000	1670000	2200	2263.8	2255	2220	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1660000	1650000	1610000	2145	2201.3	2195	2170	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1600000	1590000	1580000	2070	2150	2150	2150	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1540000	1530000	1520000	2020	2130	2110	2090	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1510000	1500000	1480000	1980	2090	2080	2060	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1490000	1480000	1450000	1970	2070	2060	2030	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1460000	1450000	1430000	1950	2035	2030	2020	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1420000	1410000	1370000	1890	2017.5	2010	1980	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1380000	1370000	1270000	1865	1989	1980	1890	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	8	5	1260000	1250000	1240000	1770	1880	1875	1870	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1980000	1970000	1950000	2870	3192.5	3175	3140	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1960000	1950000	1920000	2860	3161.7	3140	3075	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1930000	1920000	1910000	2830	3070	3075	3080	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1900000	1890000	1840000	2795	3038	3015	2900	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1820000	1810000	1780000	2690	2898.3	2870	2785	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1760000	1750000	1730000	2595	2737.5	2725	2700	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1720000	1710000	1670000	2550	2680	2655	2555	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1660000	1650000	1610000	2470	2550	2530	2450	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1600000	1590000	1580000	2400	2420	2410	2400	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1540000	1530000	1520000	2335	2340	2310	2280	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1510000	1500000	1480000	2280	2265	2240	2190	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1490000	1480000	1450000	2260	2206.7	2190	2140	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1470000	1460000	1420000	2230	2091.3	2080	2035	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1200000	1190000	1110000	1510	1701.9	1685	1550	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	1030000	1020000	1010000	1140	1420	1410	1400	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	8	5	990000	980000	960000	1080	1530	1500	1440	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
