DBMS	RUNID	QUERYNUM	UPPER_CARD	LOWER_CARD	UPPER_GEN	LOWER_GEN	UPPER_PLAN	LOWER_PLAN	UPPER_CQT	LOWER_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
db2	439	81	1380000	1370000	8	5	-535077561856144160	8083383513364144480	1865	1980	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	1410000	1400000	5	8	8083383513364144480	-535077561856144160	2010	1880	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN
db2	439	81	1470000	1460000	8	8	-535077561856144160	-535077561856144160	1950	1950	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN
db2	439	81	1720000	1710000	8	5	-535077561856144160	8083383513364144480	2200	2255	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	81	1960000	1950000	8	5	-535077561856144160	8083383513364144480	2505	2440	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	650000	640000	8	5	-7659449817608729376	-2763961738999128736	810	695	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	1110000	1100000	5	5	-6553842905469004448	2587339710482365280	1550	1515	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	83	1580000	1570000	5	8	-6553842905469004448	-8852253573799654176	2400	2370	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN
db2	439	83	1990000	1980000	8	8	-8852253573799654176	-8852253573799654176	2900	2870	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN
db2	439	85	710000	700000	3	3	8515245752388713696	7724595746652993312	480	370	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	86	1000000	990000	3	3	5301944910035455712	-4983250226737229120	820	520	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	87	260000	250000	5	5	4763803552871309152	-6677760485700701856	150	130	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	87	740000	730000	5	5	9017726431790484832	-6677760485700701856	760	550	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	87	780000	770000	5	5	-6677760485700701856	-6677760485700701856	610	595	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	87	1540000	1530000	8	5	1573307007117184224	9017726431790484832	1640	2115	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
