DBMS	RUNID	QUERYNUM	UPPER_GEN	LOWER_GEN	NEAREST_CARD	UPPER_CARD	LOWER_CARD	NEAREST_CQT	UPPER_CQT	LOWER_CQT	LOWER_EP_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
pgsql	796	54	4	6	2000000	70000	60000	4385	330	320	309	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	58	4	6	2000000	20000	10000	6790	10	10	-24.2	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	61	4	7	580000	230000	220000	1370	910	555	896.9	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	62	4	8	720000	250000	240000	1290	660	460	646.6	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	63	4	7	990000	40000	30000	2535	725	670	705.9	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	64	4	6	2000000	20000	10000	7645	20	10	-18.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	67	4	8	720000	250000	240000	2715	1410	1175	1382.2	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	69	4	6	2000000	20000	10000	11845	10	5	-49.8	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	72	4	6	2000000	20000	10000	7545	20	10	-18	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	73	4	7	580000	250000	240000	1040	570	355	555.8	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	74	4	7	720000	250000	240000	870	525	350	517.7	Hash Join,Hash,Seq Scan	Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	81	4	6	70000	20000	10000	810	595	470	552	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	82	4	6	40000	20000	10000	380	290	260	245	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	83	4	6	480000	130000	120000	1000	445	430	429.1	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	84	4	8	720000	410000	400000	2350	1850	1430	1833.9	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	87	4	6	2000000	20000	10000	6925	10	5	-24.9	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	89	4	8	580000	420000	410000	1705	1305	1130	1280	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Index Only Scan,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	89	8	9	170000	50000	40000	345	90	60	68.8	Index Only Scan,Index Scan,Merge Join,Seq Scan,Sort	Index Only Scan,Index Scan,Merge Join,Nested Loop,Seq Scan,Sort
pgsql	796	90	4	8	720000	250000	240000	1795	845	615	824.8	Hash Join,Hash,Seq Scan,Sort	Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	91	4	6	2000000	20000	10000	10015	15	10	-35.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	94	4	8	2000000	40000	30000	2815	380	240	367.6	Hash Join,Hash,Seq Scan,Sort	Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	95	4	9	100000	50000	40000	1170	1080	805	1062	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Index Only Scan,Nested Loop,Seq Scan,Sort
pgsql	796	96	4	7	720000	250000	240000	2510	1635	1460	1616.4	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	99	4	7	720000	250000	240000	1925	1130	955	1113.1	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
