# Note: units are msec; all means are relative to 1002.1*INC.
# Normal-fit columns are MEAN,SD,DISCN.  ("DISC" means discrepancy, i.e. negative goodness of fit)
# Binormal-fit columns are MEAN1,MEAN2,M2-M1,SD1,SD2,SCALE1,SCALE2,STRONG,DISCB.
#INC   DATE      MEAN       MEAN1   MEAN2    M2-M1     SD       SD1     SD2       SCALE1  SCALE2 STRONG DISCN  DISCB
78     11-Nov-18 -0.22742  -0.82769  4.13315 4.96084   2.13391  1.31460 1.29892   0.88454 0.11545  L   0.06081 0.00683
80     09-Jun-17  2.825    -1.8079   3.53162 5.33952   2.33705  1.19356 1.15956   0.14292 0.85707  R   0.05707 0.00647
82     12-Nov-18 -0.23057  -2.44315  0.21735 2.6605    2.03762  2.57983 1.19228   0.23070 0.76929  R   0.04268 0.00525
84     13-Nov-18 -0.56054  -4.71607  0.56458 5.28066   2.77048  1.31507 1.62093   0.22192 0.77807  R   0.04168 0.00502
86     14-Nov-18 -0.76116  -5.01747  0.86817 5.88565   3.06068  1.37467 1.46997   0.27847 0.72153  R   0.06112 0.00517
88     10-Jun-17  2.878     0.47636  5.9908  5.51444   3.08509  1.31608 1.29649   0.56549 0.43450  L   0.06648 0.00659
92     20-Oct-18 -1.24705  -3.32126  1.89608 5.21734   3.04060  1.49544 1.74095   0.60033 0.39966  L   0.04879 0.00444
96     24-May-17  3.59708   2.555    4.53552 1.98052   1.82962  1.16261 1.59786   0.47499 0.52500  R   0.01703 0.01736
100    21-Oct-18 -0.92292  -2.44571 -0.20806 2.23765   2.38882  1.81917 1.50437   0.37390 0.62609  R   0.02417 0.01800
104    11-Jun-17  3.95972   0.67555  6.10679 5.43123   3.07477  1.49536 1.52717   0.39744 0.60255  R   0.05759 0.00487
108    22-Oct-18 -0.565    -3.64661  1.32205 4.96866   3.11614  1.41111 1.98853   0.37204 0.62795  R   0.02745 0.00830
112    12-Jun-17  4.87908   3.80709  8.62019 4.8131    2.53329  1.41721 1.71354   0.77979 0.22020  L   0.05936 0.00354
120    14-Jun-17  4.23123  -0.29918  5.34953 5.64871   3.00826  1.32331 1.82062   0.20825 0.79174  R   0.04397 0.01064
