*readMe
- [LOW_CARD, HIGH_CARD]: a range with the unique plan
- CURR_CARD: a cardinality in a range 

DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	CURR_CARD	PLANID	OPNAME	OPORDER	COST
db2	252	7	230000	310000	260000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	230000	310000	270000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	230000	310000	280000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	230000	310000	290000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	230000	310000	300000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	230000	310000	310000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	230000	310000	230000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	240000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	250000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	260000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	270000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	280000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	290000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	300000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	310000	-7734868676949578016	TBSCAN	4	10717
db2	252	7	230000	310000	230000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	240000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	250000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	260000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	270000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	280000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	290000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	300000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	310000	-7734868676949578016	GRPBY	5	11016
db2	252	7	230000	310000	230000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	240000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	250000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	260000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	270000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	280000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	290000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	300000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	310000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	230000	310000	230000	-7734868676949578016	HSJOIN	7	4972
db2	252	7	230000	310000	240000	-7734868676949578016	HSJOIN	7	5197
db2	252	7	230000	310000	250000	-7734868676949578016	HSJOIN	7	5408
db2	252	7	230000	310000	260000	-7734868676949578016	HSJOIN	7	5619
db2	252	7	230000	310000	270000	-7734868676949578016	HSJOIN	7	5843
db2	252	7	230000	310000	280000	-7734868676949578016	HSJOIN	7	6054
db2	252	7	230000	310000	290000	-7734868676949578016	HSJOIN	7	6265
db2	252	7	230000	310000	300000	-7734868676949578016	HSJOIN	7	6489
db2	252	7	230000	310000	310000	-7734868676949578016	HSJOIN	7	6700
db2	252	7	230000	310000	230000	-7734868676949578016	TBSCAN	8	2467
db2	252	7	230000	310000	240000	-7734868676949578016	TBSCAN	8	2578
db2	252	7	230000	310000	250000	-7734868676949578016	TBSCAN	8	2683
db2	252	7	230000	310000	260000	-7734868676949578016	TBSCAN	8	2787
db2	252	7	230000	310000	270000	-7734868676949578016	TBSCAN	8	2898
db2	252	7	230000	310000	280000	-7734868676949578016	TBSCAN	8	3003
db2	252	7	230000	310000	290000	-7734868676949578016	TBSCAN	8	3108
db2	252	7	230000	310000	300000	-7734868676949578016	TBSCAN	8	3219
db2	252	7	230000	310000	310000	-7734868676949578016	TBSCAN	8	3324
db2	252	7	230000	310000	230000	-7734868676949578016	TBSCAN	9	2467
db2	252	7	230000	310000	240000	-7734868676949578016	TBSCAN	9	2578
db2	252	7	230000	310000	250000	-7734868676949578016	TBSCAN	9	2683
