ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	RHS_PT	TOT_PT
27441	936	80169	4	4	1	0	9
27441	937	80169	4	4	2	0	10
27441	938	80170	4	4	0	0	8
27441	939	80170	4	4	0	0	8
27441	940	80168	4	4	1	0	9
27441	941	80169	4	4	1	0	9
27441	942	80172	4	4	2	0	10
27441	943	80168	4	4	2	0	10
27441	944	80167	4	4	2	0	10
27441	945	80167	4	5	1	0	10
27441	946	80167	4	4	2	0	10
27441	947	80173	4	4	1	0	9
27441	948	80172	4	4	3	0	11
27441	949	80169	4	4	2	0	10
27441	950	80169	4	4	1	0	9
27441	951	80169	4	4	1	0	9
27441	952	80168	4	5	2	0	11
27441	953	80169	4	4	1	0	9
27441	954	80182	4	4	0	114	122
27441	955	80168	4	4	1	0	9
27441	956	80168	4	4	2	0	10
27441	957	80169	4	4	0	0	8
27441	958	80169	4	4	0	0	8
27441	959	80169	4	4	1	0	9
27441	960	80170	4	4	0	0	8
27441	961	80169	4	4	0	0	8
27441	962	80169	4	4	1	0	9
27441	963	80170	4	4	0	0	8
27441	964	80168	4	4	2	0	10
27441	965	80169	4	4	1	0	9
27441	966	80168	4	4	1	0	9
27441	967	80170	4	4	0	0	8
27441	968	80167	4	4	2	0	10
27441	969	80167	4	4	1	0	9
27441	970	80168	4	4	1	0	9
27441	971	80167	4	4	1	0	9
27441	972	80170	4	4	1	0	9
27441	973	80171	4	4	1	0	9
27441	974	80173	4	4	1	0	9
27441	975	80170	4	4	1	0	9
27441	976	80166	4	4	2	0	10
27441	977	80169	4	4	0	0	8
27441	978	80171	4	4	2	0	10
27441	979	80167	4	4	2	0	10
27441	980	80168	4	5	1	0	10
27441	981	80167	4	4	2	0	10
27441	982	80173	4	4	1	0	9
27441	983	80166	4	4	2	0	10
27441	984	80167	4	4	1	0	9
27441	985	80165	4	4	2	0	10
27441	986	80168	4	4	0	0	8
27441	987	80175	4	4	0	0	8
27441	988	80167	4	4	1	0	9
27441	989	80166	4	4	2	0	10
27441	990	80167	4	4	1	0	9
27441	991	80168	4	4	1	0	9
27441	992	80171	4	4	0	0	8
27441	993	80173	4	4	2	0	10
27441	994	80167	4	4	1	0	9
27441	995	80166	4	4	2	0	10
27441	996	80167	4	4	1	0	9
27441	997	80167	4	4	1	0	9
27441	998	80172	4	4	2	0	10
27441	999	80167	4	4	1	0	9
27441	1000	80168	4	4	0	0	8
