ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	TOT_PT
19300	477	80164	4	4	2	10
19300	478	80171	4	4	1	9
19300	479	80171	4	4	1	9
19300	480	80171	4	4	1	9
19300	481	80172	4	4	1	9
19300	482	80170	4	4	2	10
19300	483	80171	4	4	1	9
19300	484	80170	4	4	2	10
19300	485	80165	4	4	1	9
19300	486	80171	4	4	1	9
19300	487	80172	4	4	0	8
19300	488	80172	4	4	0	8
19300	489	80173	4	4	0	8
19300	490	80175	4	4	1	9
19300	491	80166	4	5	1	10
19300	492	80172	4	4	2	10
19300	493	80173	4	4	0	8
19300	494	80174	4	4	3	11
19300	495	80172	4	4	0	8
19300	496	80172	4	4	1	9
19300	497	80166	4	4	2	10
19300	498	80171	4	4	1	9
19300	499	80170	4	4	1	9
19300	500	80173	4	4	0	8
19300	501	80173	4	4	3	11
19300	502	80171	4	4	1	9
19300	503	80166	4	4	2	10
19300	504	80172	4	4	1	9
19300	505	80172	4	4	1	9
19300	506	80173	4	4	0	8
19300	507	80172	4	4	0	8
19300	508	80169	5	4	1	10
19300	509	80166	4	4	0	8
19300	510	80172	4	4	1	9
19300	511	80171	4	4	1	9
19300	512	80171	4	4	2	10
19300	513	80172	4	4	1	9
19300	514	80170	4	4	1	9
19300	515	80168	4	5	1	10
19300	516	80171	4	4	2	10
19300	517	80171	5	4	1	10
19300	518	80171	4	4	2	10
19300	519	80171	4	4	0	8
19300	520	80168	4	4	2	10
19300	521	80171	4	4	1	9
19300	522	80174	4	4	0	8
19300	523	80172	4	4	1	9
19300	524	80174	4	4	0	8
19300	525	80168	4	4	0	8
19300	526	80173	4	4	0	8
19300	527	80172	4	4	2	10
19300	528	80173	4	4	0	8
19300	529	80171	4	4	2	10
19300	530	80167	4	4	1	9
19300	531	80173	4	4	1	9
19300	532	80172	4	4	1	9
19300	533	80170	4	4	2	10
19300	534	80172	4	4	1	9
19300	535	80166	4	4	1	9
19300	536	80172	4	4	1	9
19300	537	80170	4	4	2	10
19300	538	80172	4	4	2	10
19300	539	80173	4	4	0	8
19300	540	80166	4	4	1	9
19300	541	80171	4	4	1	9
19300	542	80171	4	4	1	9
19300	543	80172	5	4	2	11
19300	544	80172	4	4	1	9
19300	545	80166	4	4	1	9
19300	546	80172	4	4	2	10
19300	547	80171	4	4	0	8
19300	548	80171	4	4	1	9
19300	549	80173	4	4	0	8
19300	550	80168	4	4	0	8
19300	551	80171	4	4	1	9
19300	552	80173	4	4	0	8
19300	553	80171	4	4	2	10
19300	554	80167	4	4	2	10
19300	555	80170	4	4	1	9
19300	556	80173	4	4	1	9
19300	557	80175	4	4	1	9
19300	558	80169	4	4	1	9
19300	559	80171	4	4	1	9
19300	560	80172	4	4	0	8
19300	561	80171	4	4	1	9
19300	562	80170	4	4	2	10
19300	563	80169	4	4	1	9
19300	564	80171	4	4	1	9
19300	565	80172	4	4	0	8
19300	566	80171	4	4	2	10
19300	567	80165	4	4	2	10
19300	568	80171	4	4	2	10
19300	569	80172	4	4	1	9
19300	570	80172	4	4	0	8
19300	571	80165	4	4	0	8
19300	572	80172	4	4	1	9
19300	573	80173	4	4	0	8
19300	574	80171	4	4	2	10
19300	575	80165	4	4	2	10
19300	576	80173	4	4	0	8
19300	577	80172	4	4	0	8
19300	578	80172	4	4	1	9
19300	579	80163	4	4	3	11
19300	580	80170	4	4	2	10
19300	581	80171	4	4	2	10
19300	582	80172	4	4	1	9
19300	583	80172	4	4	1	9
19300	584	80174	4	4	0	8
19300	585	80173	4	4	1	9
19300	586	80165	4	4	2	10
19300	587	80171	4	4	3	11
19300	588	80170	4	4	2	10
19300	589	80171	4	4	2	10
19300	590	80167	4	4	0	8
19300	591	80170	4	4	2	10
19300	592	80173	4	4	0	8
19300	593	80173	4	5	1	10
19300	594	80166	4	4	1	9
19300	595	80170	4	4	2	10
19300	596	80173	4	4	0	8
19300	597	80170	4	4	0	8
19300	598	80171	4	4	0	8
19300	599	80172	4	4	1	9
19300	600	80172	4	4	1	9
19300	601	80168	4	4	0	8
19300	602	80174	4	4	0	8
19300	603	80171	4	4	2	10
19300	604	80172	4	4	1	9
19300	605	80170	4	4	0	8
19300	606	80172	4	4	1	9
19300	607	80171	4	4	2	10
19300	608	80172	4	4	1	9
19300	609	80165	4	4	2	10
19300	610	80172	4	4	1	9
19300	611	80173	4	4	1	9
19300	612	80169	4	4	0	8
19300	613	80174	4	4	0	8
19300	614	80172	4	4	1	9
19300	615	80171	4	4	2	10
19300	616	80166	4	4	1	9
19300	617	80172	4	4	1	9
19300	618	80172	4	4	1	9
19300	619	80171	4	4	1	9
19300	620	80168	4	4	1	9
19300	621	80174	4	4	0	8
19300	622	80173	4	4	2	10
19300	623	80173	4	4	0	8
19300	624	80172	4	4	0	8
19300	625	80182	6	4	0	10
19300	626	80172	4	4	1	9
19300	627	80165	5	4	2	11
19300	628	80176	4	4	1	9
19300	629	80172	4	4	2	10
19300	630	80173	4	4	0	8
19300	631	80166	4	4	1	9
19300	632	80172	4	4	1	9
19300	633	80171	4	4	2	10
19300	634	80172	4	4	1	9
19300	635	80169	4	4	1	9
19300	636	80173	4	4	1	9
19300	637	80171	4	4	2	10
19300	638	80171	4	4	2	10
19300	639	80166	4	4	1	9
19300	640	80171	4	4	2	10
19300	641	80172	4	4	0	8
19300	642	80172	4	4	1	9
19300	643	80169	4	4	1	9
19300	644	80173	4	4	0	8
19300	645	80172	4	4	1	9
19300	646	80166	4	4	1	9
19300	647	80173	4	4	0	8
19300	648	80171	4	4	1	9
19300	649	80172	4	4	0	8
19300	650	80167	4	4	0	8
19300	651	80171	4	4	1	9
19300	652	80171	4	4	2	10
19300	653	80173	4	4	0	8
19300	654	80166	4	4	2	10
19300	655	80172	4	4	1	9
19300	656	80172	4	4	1	9
19300	657	80171	4	4	1	9
19300	658	80169	4	4	1	9
19300	659	80173	4	4	0	8
19300	660	80170	4	4	1	9
19300	661	80171	4	4	3	11
19300	662	80171	4	4	1	9
19300	663	80165	4	4	3	11
19300	664	80171	4	4	2	10
19300	665	80173	4	4	0	8
19300	666	80172	4	4	1	9
19300	667	80169	4	4	1	9
19300	668	80169	4	4	1	9
19300	669	80172	4	4	1	9
19300	670	80172	4	4	1	9
19300	671	80172	4	4	1	9
19300	672	80167	4	4	0	8
19300	673	80172	4	4	1	9
19300	674	80172	4	4	1	9
19300	675	80172	4	4	1	9
19300	676	80173	4	4	0	8
19300	677	80166	4	4	1	9
19300	678	80173	4	4	0	8
19300	679	80170	4	4	1	9
19300	680	80173	4	4	0	8
19300	681	80168	4	4	1	9
19300	682	80171	4	4	1	9
19300	683	80172	4	4	1	9
19300	684	80174	4	4	0	8
19300	685	80172	4	4	1	9
19300	686	80166	4	4	1	9
19300	687	80171	4	4	1	9
19300	688	80172	4	4	1	9
19300	689	80171	4	4	2	10
19300	690	80167	4	5	1	10
19300	691	80172	4	4	1	9
19300	692	80170	4	4	2	10
19300	693	80172	4	4	1	9
19300	694	80173	4	4	0	8
19300	695	80171	4	4	2	10
19300	696	80171	4	4	1	9
19300	697	80168	4	4	0	8
19300	698	80171	4	4	2	10
19300	699	80171	4	4	2	10
19300	700	80170	4	4	2	10
19300	701	80174	4	4	0	8
19300	702	80170	4	4	3	11
19300	703	80165	4	4	1	9
19300	704	80172	4	4	1	9
19300	705	80171	4	4	2	10
19300	706	80172	4	4	0	8
19300	707	80170	4	4	2	10
19300	708	80171	4	4	1	9
19300	709	80169	4	4	0	8
19300	710	80168	4	4	3	11
19300	711	80169	4	4	4	12
19300	712	80171	4	4	1	9
19300	713	80172	4	4	1	9
19300	714	80171	4	4	1	9
19300	715	80172	4	4	1	9
19300	716	80166	4	4	1	9
19300	717	80174	4	4	2	10
19300	718	80172	4	4	1	9
19300	719	80171	4	4	0	8
19300	720	80172	4	4	1	9
19300	721	80171	4	4	1	9
19300	722	80164	4	4	2	10
19300	723	80171	4	4	1	9
19300	724	80174	4	5	1	10
19300	725	80171	4	4	1	9
19300	726	80170	4	4	2	10
19300	727	80171	4	4	1	9
19300	728	80166	4	4	2	10
19300	729	80172	4	4	1	9
19300	730	80171	4	4	1	9
19300	731	80171	4	4	1	9
19300	732	80171	4	4	1	9
19300	733	80172	4	4	1	9
19300	734	80165	4	4	1	9
19300	735	80168	4	4	3	11
19300	736	80172	4	4	1	9
19300	737	80173	4	4	0	8
19300	738	80171	4	4	0	8
19300	739	80172	4	4	1	9
19300	740	80166	4	4	1	9
19300	741	80172	4	4	0	8
19300	742	80171	4	4	2	10
19300	743	80172	4	4	1	9
19300	744	80173	4	4	0	8
19300	745	80171	4	4	2	10
19300	746	80167	4	4	1	9
19300	747	80176	4	4	1	9
19300	748	80174	4	4	2	10
19300	749	80171	4	4	2	10
19300	750	80172	4	4	0	8
19300	751	80169	4	4	0	8
19300	752	80172	4	4	0	8
19300	753	80172	4	4	1	9
19300	754	80171	4	4	2	10
19300	755	80171	4	4	1	9
19300	756	80172	4	4	0	8
19300	757	80166	4	4	1	9
19300	758	80172	4	4	0	8
19300	759	80174	4	5	0	9
19300	760	80172	4	4	1	9
19300	761	80172	4	4	1	9
19300	762	80174	5	4	1	10
19300	763	80165	4	4	2	10
19300	764	80174	4	4	0	8
19300	765	80171	4	4	2	10
19300	766	80170	4	5	1	10
19300	767	80172	4	4	1	9
19300	768	80173	4	4	0	8
19300	769	80169	4	4	1	9
19300	770	80171	4	4	1	9
19300	771	80171	4	4	2	10
19300	772	80172	4	4	1	9
19300	773	80171	4	4	2	10
19300	774	80171	4	4	0	8
19300	775	80165	4	4	3	11
19300	776	80172	4	4	0	8
19300	777	80185	4	4	1	9
19300	778	80172	4	4	0	8
19300	779	80173	4	4	0	8
19300	780	80172	4	4	2	10
19300	781	80164	4	4	2	10
