ITERNUM	U_TIME	S_TIME	PRTIME	METIME
516	32065	1	32066	32069
517	32071	1	32072	32075
518	32068	0	32068	32071
519	32067	0	32067	32069
520	32067	0	32067	32070
521	32073	0	32073	32077
522	32066	1	32067	32070
523	32064	2	32066	32069
524	32072	1	32073	32075
525	32066	0	32066	32070
526	32065	2	32067	32070
527	32067	1	32068	32071
528	32072	1	32073	32075
529	32064	2	32066	32070
530	32066	1	32067	32070
531	32072	1	32073	32076
532	32066	1	32067	32069
533	32065	0	32065	32070
534	32073	1	32074	32077
535	32065	2	32067	32069
536	32066	0	32066	32070
537	32065	1	32066	32070
538	32071	1	32072	32077
539	32065	1	32066	32070
540	32066	1	32067	32069
541	32070	1	32071	32076
542	32067	0	32067	32071
543	32066	0	32066	32070
544	32072	0	32072	32076
545	32066	1	32067	32071
546	32066	1	32067	32072
547	32065	2	32067	32069
548	32071	2	32073	32075
549	32066	0	32066	32070
550	32066	1	32067	32072
551	32072	2	32074	32077
552	32064	2	32066	32070
553	32065	2	32067	32070
554	32072	1	32073	32077
555	32068	0	32068	32071
556	32066	1	32067	32069
557	32067	0	32067	32069
558	32074	0	32074	32077
559	32065	1	32066	32070
560	32063	4	32067	32070
561	32071	1	32072	32076
562	32066	0	32066	32071
563	32065	0	32065	32070
564	32073	0	32073	32075
565	32069	0	32069	32072
566	32066	1	32067	32071
567	32064	1	32065	32070
568	32071	2	32073	32076
569	32065	1	32066	32070
570	32067	0	32067	32071
571	32072	1	32073	32075
572	32066	1	32067	32070
573	32064	1	32065	32069
574	32071	2	32073	32077
575	32067	0	32067	32071
576	32063	2	32065	32070
577	32067	0	32067	32069
578	32073	1	32074	32078
579	32064	1	32065	32070
580	32065	1	32066	32070
581	32070	2	32072	32076
582	32068	0	32068	32071
583	32065	1	32066	32070
584	32071	1	32072	32074
585	32068	0	32068	32073
586	32065	2	32067	32072
587	32066	0	32066	32069
588	32071	1	32072	32075
589	32067	0	32067	32069
590	32067	1	32068	32071
591	32071	0	32071	32076
592	32064	2	32066	32070
593	32066	1	32067	32069
594	32069	3	32072	32076
595	32069	1	32070	32073
596	32067	0	32067	32070
597	32066	1	32067	32070
598	32074	0	32074	32078
599	32066	1	32067	32070
600	32066	0	32066	32070
601	32070	2	32072	32076
602	32066	1	32067	32070
603	32066	0	32066	32070
604	32067	2	32069	32072
605	32072	0	32072	32074
606	32064	2	32066	32069
607	32065	0	32065	32070
608	32071	2	32073	32076
609	32066	1	32067	32069
610	32065	0	32065	32069
611	32071	0	32071	32076
612	32065	0	32065	32069
613	32066	1	32067	32070
614	32066	1	32067	32070
615	32073	0	32073	32078
616	32065	1	32066	32070
617	32066	0	32066	32070
618	32070	1	32071	32076
619	32066	1	32067	32072
620	32064	2	32066	32070
621	32071	1	32072	32076
622	32064	4	32068	32074
623	32066	1	32067	32071
624	32066	1	32067	32070
625	32069	2	32071	32076
